Id,Severity,Status,Title,Create Time,Team,Owner
52764392,3,RESOLVED,[Support] [UCMA] Opportunites Appearing as Rejected by user thherr,11/28/2017 9:50:11 AM +00:00,UCM Opportunities,yarashwa
52738199,3,RESOLVED,[Support] UCMA Opportunities: Unable to Change Status at Account Level,11/28/2017 12:31:22 AM +00:00,UCM Opportunities,yarashwa
52549237,3,RESOLVED,"[Support] UCMA | Accounts Tab showing Error & not loading for user: limackes (code defect, exposure, summary row)",11/24/2017 1:53:27 PM +00:00,UCM Data Visualization Framework,
52478831,3,RESOLVED,[Support] User is unable to see any data under the manager dashboard.,11/23/2017 6:33:50 PM +00:00,UCM Business Analytics,v-chaspa
52412036,3,RESOLVED,[Support] UCMA - Opportunities: Build Proposal Excel file will not render with Pitched AND Open Status Selected,11/22/2017 5:32:04 PM +00:00,UCM Opportunities,rany
52350535,3,RESOLVED,"[Support] Escalating UCMT tickets creates ""undefined"" error",11/21/2017 11:23:54 PM +00:00,UCM Ticketing & Engagement,v-rozag
52348313,3,RESOLVED,[Support] UCM shows opportunities as pitched - AM did not pitch specified opportunities,11/21/2017 10:36:09 PM +00:00,UCM Opportunities,yarashwa
52316094,3,RESOLVED,"[Support] UCMA - Multiple BoB Added to Label, but Spend Tile Not Reflecting Change Correctly (code defect, legacy)",11/21/2017 6:04:29 PM +00:00,UCM Data Visualization Framework,lolondon
52273955,3,RESOLVED,[Support] Emails sent to UCMTCAL auto triage feature not removing user from rotation,11/21/2017 4:42:16 AM +00:00,UCM Ticketing & Engagement,rykelch
52228481,3,RESOLVED,[Support] [UCMB] Account links are not opening the accounts page (code defect),11/20/2017 2:56:38 PM +00:00,UCM Data Visualization Framework,v-chenan
51963749,3,RESOLVED,[Support] UCMA error: Account is too large to show in UCMA. (by design),11/16/2017 9:45:35 PM +00:00,UCM Data Visualization Framework,
51962342,3,RESOLVED,[Support] UCMA Health Check Report Not Showing Data For Selected Account (No Repro),11/16/2017 9:23:09 PM +00:00,UCM Data Visualization Framework,lolondon
51779366,3,RESOLVED,[Support] UCMA Shared Opportunity Pitches not Rendering Properly in Email,11/14/2017 11:35:18 PM +00:00,UCM Opportunities,yueych
51772184,3,RESOLVED,[Support] UCMA and UCMC show stale data for account X1457395,11/14/2017 9:54:45 PM +00:00,UCM Account Management A+P,zhama
51739012,3,RESOLVED,[Support] - Unable to add users  to vTeams in UCM-T,11/14/2017 7:48:59 PM +00:00,UCM Ticketing & Engagement,v-vaagr
51707558,3,RESOLVED,[Support] [UCMA] Ticket Tab Showing other customers tickets,11/14/2017 1:25:37 PM +00:00,UCM Ticketing & Engagement,roopapu
51467493,3,RESOLVED,[Support] Unable to download the SLE-I opportunity,11/10/2017 11:29:12 PM +00:00,UCM Opportunities,anyyu
51466439,3,RESOLVED,[Support] The If condition dropdown for auto triage rules in WOCS post collections queue does not show up.,11/10/2017 11:04:44 PM +00:00,UCM Ticketing & Engagement,v-zehund
51383585,3,RESOLVED,"[Support] [UCMA] For the removable tiles the colors of ""change - compared to"" doesn't match positivity/negativity of change | UCM000000968815 (by design)",11/9/2017 4:43:27 PM +00:00,UCM Data Visualization Framework,lolondon
51331404,3,RESOLVED,[Support] UCM-T Customer Detail Error,11/8/2017 10:30:32 PM +00:00,UCM Account Management A+P,v-sshett
50960121,3,RESOLVED,[Support] Unable to see accounts on UCMB (by design),11/3/2017 8:16:07 PM +00:00,UCM Data Visualization Framework,v-chenan
50955338,3,RESOLVED,[Support] High QBR Penalty is not showing in UCMA Alerts Tab for the account,11/3/2017 6:47:25 PM +00:00,UCM Ticketing & Engagement,
